"regulatoryGene"	"targetGene"	"weight"
"MYL3"	"MMP19"	0.00322802476401439
"SYT3"	"HIST1H1E"	0.00322583450616731
"ENSG00000227582"	"ENSG00000274370"	0.00322491198391421
"ENSG00000280081"	"ENSG00000274370"	0.00322491198391421
"NBAS"	"FAM3C"	0.00322364614376792
"PLAUR"	"SIK1B"	0.00322209830914163
"CABLES1"	"SIK1B"	0.00322209830914163
"ENSG00000262766"	"SIK1B"	0.00322209830914163
"ENSG00000231616"	"ENSG00000253347"	0.0032191646025464
"CRYAB"	"RNASE1"	0.00321765970686693
"CRYAB"	"S100A11"	0.00321122783055263
"ENSG00000231233"	"FNDC9"	0.00320477942782433
"DPY19L2P4"	"ZNF154"	0.00320262788594331
"ENSG00000226252"	"ENSG00000225527"	0.00320138388046692
"SEZ6L"	"GRIN3A"	0.00319504618508479
"ENSG00000234206"	"SIK1B"	0.00319378705881766
"ENSG00000224152"	"UBC"	0.00319166567869194
"CDK15"	"ENSG00000197099"	0.00319049265878583
"POU6F2"	"SLC2A12"	0.00318658605662322
"LOC440028"	"DPY19L2P4"	0.00318384638909939
"LPO"	"GRIN3A"	0.00318045758667504
"STC1"	"SIK1B"	0.00317963143365568
"SDR42E1"	"SIK1B"	0.00317963143365568
"STRA6"	"ENSG00000232888"	0.00317887586526883
"MAPK15"	"ENSG00000271141"	0.00317739133915714
"ENSG00000274383"	"MARK3"	0.00317625157555699
"ENSG00000259065"	"UBC"	0.00317462312642441
"GRIN3A"	"SEMA4F"	0.00317437607074795
"APRT"	"UBC"	0.00317341758449203
"DGKH"	"UBC"	0.00317281481352584
"PSAT1"	"LGR5"	0.0031724532995581
"ENSG00000211959"	"EDIL3"	0.00317092120606569
"GRIN3A"	"CMBL"	0.0031672913373894
"HOXD10"	"ENSG00000260091"	0.00316634732611031
"CMYA5"	"HLA-F-AS1"	0.00316597892623008
"EGFR"	"MYL3"	0.00316535122267223
"NTRK1"	"GRIN3A"	0.00316510414936085
"SMIM28"	"ENSG00000226107"	0.00316021108258502
"IER5L"	"MYL3"	0.00315809168656097
"ENSG00000274370"	"FAM43B"	0.0031519986682413
"NBAS"	"TSPYL4"	0.00315148957266446
"CACNG3"	"NXPH3"	0.00315121795412975
"NCALD"	"NXPH3"	0.00315121795412975
"HCN4"	"FNDC9"	0.00314021035260232
"COL3A1"	"MYH14"	0.00314010062804574
"SMIM28"	"RBM11"	0.00313710170871336
"SLAMF8"	"NXPH3"	0.00313268489961562
"ENSG00000237807"	"MYH14"	0.00312953357527911
"PEAK1"	"STRA6"	0.00312575070528652
"FBLN7"	"CRYAB"	0.00312446462768885
"ANXA4"	"CMYA5"	0.00312403363420389
"BVES-AS1"	"FNDC9"	0.00312365369883718
"FMN1"	"FNDC9"	0.00312365369883718
"HS3ST5"	"ENSG00000231799"	0.00312359738750371
"STRA6"	"RPS14"	0.00311791280145347
"LGR5"	"FASTKD5"	0.00311402641901258
"ENSG00000227827"	"FNDC9"	0.00311063340578295
"NXPH3"	"MB"	0.00310604550224693
"ENSG00000274383"	"ENSG00000256950"	0.00310559209238891
"TTC3"	"ENSG00000274383"	0.00310281149355293
"MAP3K6"	"UBC"	0.00309946904322698
"PSORS1C1"	"CMYA5"	0.00309927858753369
"TMEM178B"	"ENSG00000261888"	0.00309650894432633
"KCNE4"	"MYL3"	0.0030942705954727
"ENSG00000228960"	"CMYA5"	0.00308948560592491
"LINC01410"	"TMEM18"	0.00308942003598261
"FNDC3B"	"CRYAB"	0.00308930138843121
"NEMF"	"ENSG00000280727"	0.00308882012334595
"STRA6"	"GJA4"	0.00308196942467872
"CRYAB"	"EVA1A"	0.00307911368657993
"ENSG00000229839"	"LRRTM3"	0.00307910510848198
"C17orf113"	"HOXD10"	0.00307831085633719
"GRIN3A"	"DEF6"	0.00307818391672977
"CMYA5"	"PIAS3"	0.00307792747375776
"ENSG00000280727"	"LMBR1L"	0.00307678016581703
"ENSG00000259976"	"AMIGO2"	0.00307394722148654
"SVIL-AS1"	"UBC"	0.00307360052466869
"ENSG00000225724"	"EVX2"	0.00306824071434917
"GOLGA8M"	"HOXD10"	0.00306763055407283
"ENSG00000256967"	"HOXD10"	0.00306763055407283
"NBAS"	"CEP290"	0.00306674002095289
"STRA6"	"CREB3L1"	0.00306645198428021
"ENSG00000197099"	"ENSG00000221930"	0.00306604901101299
"NBAS"	"DLK1"	0.00306581509275127
"ESAM"	"SIK1B"	0.00306270172355022
"UBC"	"EREG"	0.0030624846385226
"EVX2"	"ALDH7A1"	0.00306155636207206
"HOXD10"	"NPIPB9"	0.00306094619941574
"POU6F2"	"CYS1"	0.00305881001236567
"ENSG00000225527"	"ENSG00000232855"	0.00305849256063516
"CRYAB"	"ENSG00000259687"	0.00305761566442525
"EVX2"	"PDE4D"	0.00305717762599335
"MYL3"	"PCDH18"	0.00305715759455199
"CAMK2A"	"GRIN3A"	0.00305478533816379
"LINC00506"	"NXPH3"	0.00305233857046944
"SMIM28"	"TACO1"	0.0030498860549654
"RTL1"	"FRAS1"	0.00304857313335016
"ENSG00000272734"	"DPY19L2P4"	0.00304221308083943
"TRAM1L1"	"POU6F2"	0.00304164067577737
"ENSG00000223947"	"HOXD10"	0.00303893247520956
"ENSG00000215374"	"LINC01410"	0.00303830277101565
"ENSG00000211965"	"EDIL3"	0.0030375350305325
"LINC01852"	"CMYA5"	0.00302986083268198
"MAP7"	"NXPH3"	0.0030270968324427
"PDE6D"	"RTL1"	0.00302351762191582
"TAB2"	"RTL1"	0.00302274871390665
"EPB41L1"	"AMIGO2"	0.003022110909318
"CRYAB"	"FTL"	0.00301721806037298
"HES1"	"UBC"	0.00301719124972306
"STEAP1"	"MYH14"	0.00301320427815362
"UBC"	"KCNN1"	0.00301077195856343
"AGMO"	"MYH14"	0.00300794009170991
"SDC4"	"MYH14"	0.00300694427541717
"ENSG00000271788"	"ENSG00000280727"	0.00300562122079652
"CRYAB"	"ANXA6"	0.00299823980380477
