"regulatoryGene"	"targetGene"	"weight"
"SLC25A22"	"GRIN3A"	0.00380790997212634
"SKP1"	"UBC"	0.00380711849845443
"IL18"	"PRSS12"	0.00380202586062887
"HS3ST5"	"PEX11B"	0.00379934420202522
"SLC16A2"	"NBAS"	0.00379315354773916
"EPHA1"	"LGR5"	0.00378972190235307
"ENSG00000262477"	"NBAS"	0.00378888557027886
"ENSG00000159247"	"STRA6"	0.0037858801793695
"FGFRL1"	"EDIL3"	0.00378473381586068
"PLD5"	"PRSS12"	0.00378229622656938
"ENSG00000280727"	"ENSG00000268584"	0.00378033827831476
"IRF6"	"PRSS12"	0.00377988398675199
"FXR2"	"UBC"	0.00376644169866672
"TIFAB"	"PRSS12"	0.00376153214107168
"FAM177A1"	"MEG9"	0.00375728626823803
"HS3ST5"	"PWP1"	0.00375055973499526
"HOXD10"	"HOXD9"	0.00374112095509927
"UBC"	"IGFL4"	0.00373316229535285
"ENSG00000260461"	"SMIM28"	0.00372696295985507
"PCDHA9"	"ENSG00000176716"	0.0037235961722742
"PCGF6"	"LOC101927418"	0.00372312937541071
"MT1G"	"SMIM28"	0.00372248941937862
"GS1-24F4.2"	"CMYA5"	0.00371995634802124
"ENSG00000253347"	"POLG2"	0.0037197485566644
"CCT6P3"	"ENSG00000253347"	0.00371227104390236
"ENSG00000237857"	"SBK2"	0.00370646252373677
"ZNF418"	"MEG9"	0.00370619573428062
"TRPC4"	"EDIL3"	0.0036985192758896
"LRRTM3"	"SMIM19"	0.00369679945798211
"PVR"	"MAPK15"	0.00369474487146162
"UBC"	"CHMP5"	0.00369193243515644
"GRIN3A"	"ACLY"	0.00369059094486487
"UBC"	"ENSG00000279306"	0.00368392449893876
"NXPH3"	"TEX15"	0.00366732158913614
"PTRHD1"	"ENSG00000237857"	0.00366695617159642
"OGDH"	"AMIGO2"	0.00366289436807268
"ZNF594"	"LINC01410"	0.00366090584980988
"MAGEE1"	"FNDC9"	0.00366030731499426
"ZNF99"	"RTL1"	0.00365978102072387
"STRA6"	"ENSG00000232406"	0.00365955941036652
"DYM"	"ENSG00000237857"	0.00365580196707959
"SELENON"	"AMIGO2"	0.00365291989811531
"ENSG00000237857"	"ERICH2"	0.00365255848318882
"SMIM28"	"PTPRR"	0.00365121841146296
"NXPH3"	"ENSG00000250471"	0.00365055231925052
"HIST1H1E"	"CCDC59"	0.00364583262054149
"NGFR"	"MYL3"	0.00364204561570325
"STBD1"	"CYP17A1"	0.0036300450546515
"GSTA4"	"RTL1"	0.00362699686664816
"ENSG00000211973"	"EVX2"	0.00362234145082175
"RNF150"	"LGR5"	0.00361555295785709
"ENSG00000257261"	"EVX2"	0.00360728739037659
"ENSG00000197099"	"ENSG00000230563"	0.00360618381298708
"SMIM28"	"TDRG1"	0.00359723509648161
"SLC25A34"	"NBAS"	0.00359354686694819
"HS3ST5"	"TAGLN3"	0.00359339130674088
"LGR5"	"ADM5"	0.00359337515181051
"ENSG00000266907"	"EDIL3"	0.00358435565812508
"HOXD10"	"TSPEAR"	0.00358398373133259
"LGR5"	"BIRC7"	0.00358321483228583
"AMIGO2"	"ENSG00000280099"	0.00357915695099996
"ZNF75A"	"LINC01410"	0.00357912820587904
"UBC"	"GHITM"	0.00357814043822846
"C16orf71"	"POU6F2"	0.00357497652963406
"GRIN3A"	"UTS2B"	0.00356590309176429
"BRI3"	"MYL3"	0.00356587662406926
"HIST1H1E"	"CNKSR2"	0.00356410208360328
"EVX2"	"ENSG00000233435"	0.00356301834455303
"HIST1H1E"	"ENSG00000238171"	0.00356187206013278
"IGFL4"	"FNDC9"	0.00356088728149492
"MAPK15"	"GPR45"	0.00355420383984538
"GRIN3A"	"RUSC1"	0.00354922622260669
"NFYB"	"HIST1H1E"	0.00354584719753271
"ENSG00000254533"	"LINC01410"	0.00353448570175655
"PTPRD"	"ENSG00000274383"	0.00353139989014893
"STRA6"	"ENSG00000275197"	0.00352165139126998
"CAMKK2"	"RTL1"	0.00352141432456265
"RTL1"	"LOC101929552"	0.00351631388935273
"FAM72C"	"NXPH3"	0.00351589660421731
"ENSG00000233821"	"POU6F2"	0.00351315255419449
"ENSG00000257534"	"POU6F2"	0.00351036591228471
"LINC01410"	"ADGRB3"	0.00350434971089787
"ENSG00000271754"	"HIST1H1E"	0.00350097968267922
"ENSG00000211896"	"EVX2"	0.00349877527188884
"NBAS"	"SOX2"	0.00349642386650382
"MAPK15"	"DGKQ"	0.00349138321424994
"IGDCC3"	"RTL1"	0.00348936529610605
"MYH14"	"ENSG00000187695"	0.00348902108705153
"HS3ST5"	"DDX23"	0.00348632669006432
"ENSG00000268751"	"MAPK15"	0.00348504651567915
"EVX2"	"ENSG00000266918"	0.00348433357440325
"FAM87A"	"HOXD10"	0.00348406990558921
